Player,Team,W,L,ERA,APP,SV,CG,SHO,IP,H,R,ER,BB,SO,2B,3B,HR,AB,BAVG,WP,HB,BK,SFA,SHA,GO,FO,WHIP
Leo Ahn,LDT,3,1,16.03,5,0,1,0,12.2,28,32,29,21,11,4,1,1,65,0.431,0,3,0,1,0,8,13,4.02
Erich Albrecht,MKA,4,0,7.35,4,0,2,0,13.1,22,16,14,10,20,4,0,1,59,0.373,2,1,0,0,0,10,5,2.44
Jack Amphlett,PLM,2,0,7.41,4,0,1,0,11.1,20,13,12,15,16,2,1,0,51,0.392,1,2,1,0,0,4,9,3.15
Paul Andrews,BKY,0,0,52.5,1,0,0,0,0.2,1,5,5,7,0,1,0,0,2,0.5,0,0,0,0,0,0,1,40.0
Lewis Auchterlounie,HTR,0,0,105.0,1,0,0,0,0.1,1,5,5,6,0,0,0,0,2,0.5,4,1,0,0,0,0,1,70.0
Paul Auchterlounie,HTR,1,6,17.62,9,0,7,0,29.0,75,83,73,54,23,13,2,0,162,0.463,2,4,0,1,1,31,25,4.45
Ernie Ayala,MKA,1,0,4.2,1,0,1,0,5.0,6,6,3,1,9,0,0,0,22,0.273,2,1,0,0,0,3,1,1.4
Darren Ayles,KEM,0,0,17.77,4,0,0,0,4.1,8,14,11,17,6,1,0,0,19,0.421,1,1,0,0,0,0,3,6.1
Jade Bailey,BNB,0,1,39.0,2,0,0,0,2.1,10,13,13,7,1,0,0,2,17,0.588,1,0,0,0,0,5,0,8.1
Chakradari Baiya,HTE,0,1,70.0,1,0,0,0,1.0,3,10,10,9,0,1,0,0,6,0.5,0,1,0,0,0,0,2,12.0
Elizabeth Baker,BRJ,0,0,21.0,1,0,0,0,1.0,4,3,3,1,0,0,1,0,7,0.571,0,1,0,0,0,3,0,5.0
Paul Baker,ESB,0,1,42.0,3,0,1,0,2.1,12,15,14,10,5,0,0,0,20,0.6,3,3,0,0,0,1,1,10.48
Spencer Baker,BKY,0,2,0.0,3,0,0,0,0.0,1,7,7,10,0,0,0,0,1,1.0,5,1,0,0,0,0,0,0.0
Taysir Barakat,FCB,2,2,17.58,5,0,3,0,14.1,30,42,36,35,10,2,0,0,71,0.423,3,5,0,0,0,10,16,4.61
William Barbour,CR5,1,0,25.2,2,0,0,0,1.2,2,6,6,3,0,0,0,0,5,0.4,2,5,0,0,0,2,1,4.17
Ross Barnes,NHC,1,1,45.0,2,0,0,0,2.1,11,15,15,8,1,3,0,0,17,0.647,0,1,0,0,0,1,3,9.05
Pascal Barras,GUL,0,0,31.5,1,0,0,0,0.2,1,3,3,4,0,0,0,0,3,0.333,0,1,0,0,0,2,0,25.0
Brady Barrow,RIB,0,0,105.0,2,0,0,0,1.0,0,15,15,19,2,0,0,0,2,0.0,0,2,0,0,0,0,0,19.0
Freddie Bart,TRT,0,3,38.13,5,0,2,0,12.2,87,71,69,12,18,18,1,5,124,0.702,6,1,0,0,0,11,7,8.11
Alfie Barter,ESB,4,1,8.63,5,0,1,0,18.2,26,25,23,22,26,2,0,1,81,0.321,10,5,0,0,0,10,14,2.64
Jack Betts,NHC,2,1,13.83,5,0,1,0,13.2,30,28,27,18,9,7,0,0,67,0.448,2,2,1,0,1,15,13,3.64
Adam Blumsum,KEM,0,0,2.8,4,1,0,0,5.0,4,4,2,6,7,1,0,0,20,0.2,0,1,0,0,0,4,4,2.0
Louis Bojko,NHC,1,0,7.97,3,0,0,0,9.2,18,14,11,8,8,2,0,0,47,0.383,1,0,0,2,0,10,7,2.83
Matt Bone,NOR,0,0,39.0,2,0,0,0,2.1,7,13,13,14,1,0,0,0,11,0.636,0,0,0,0,0,2,1,10.0
